"","n_sims","price","lower","upper"
"1",1000,1275561.14101489,1111686.04267278,1439436.23935701
"2",7704.69798657718,1324358.03643914,1264566.8154856,1384149.25739268
"3",14409.3959731544,1340386.90154936,1295603.27967008,1385170.52342865
"4",21114.0939597315,1346238.60252486,1309500.23250135,1382976.97254837
"5",27818.7919463087,1363587.74636852,1331247.24470257,1395928.24803448
"6",34523.4899328859,1333805.90433336,1305189.59040621,1362422.2182605
"7",41228.1879194631,1334588.49228515,1308268.74332895,1360908.24124135
"8",47932.8859060403,1322855.30252376,1298786.49443755,1346924.11060997
"9",54637.5838926174,1344604.92839493,1321678.76444913,1367531.09234074
"10",61342.2818791946,1328254.16943779,1306890.31724919,1349618.02162639
"11",68046.9798657718,1329011.92539027,1308663.02876671,1349360.82201382
"12",74751.677852349,1328823.86345163,1309361.36694837,1348286.35995489
"13",81456.3758389262,1340350.42989486,1321514.56411412,1359186.2956756
"14",88161.0738255034,1351994.32391775,1333951.11364036,1370037.53419513
"15",94865.7718120805,1348496.75446746,1331094.25721725,1365899.25171767
"16",101570.469798658,1352167.83401117,1335341.11218806,1368994.55583428
"17",108275.167785235,1336460.37682128,1320257.75124085,1352663.00240172
"18",114979.865771812,1349801.60111129,1334031.28614316,1365571.91607941
"19",121684.563758389,1341695.32477231,1326336.78563452,1357053.8639101
"20",128389.261744966,1339434.83814037,1324541.42957599,1354328.24670474
"21",135093.959731544,1345322.45315182,1330723.13001883,1359921.77628481
"22",141798.657718121,1346002.67044155,1331792.1999614,1360213.1409217
"23",148503.355704698,1340382.47279593,1326503.9794638,1354260.96612807
"24",155208.053691275,1342493.84708845,1328982.81356124,1356004.88061566
"25",161912.751677852,1330422.98710974,1317221.88027544,1343624.09394403
"26",168617.44966443,1349136.47027851,1336038.5212858,1362234.41927122
"27",175322.147651007,1347707.89743092,1334874.0680842,1360541.72677763
"28",182026.845637584,1347225.63836906,1334667.93900853,1359783.3377296
"29",188731.543624161,1334829.79441394,1322592.66293534,1347066.92589253
"30",195436.241610738,1341430.57158249,1329372.84364305,1353488.29952192
"31",202140.939597315,1348770.998663,1336833.48104961,1360708.5162764
"32",208845.637583893,1337315.50524941,1325628.07149073,1349002.93900808
"33",215550.33557047,1345414.13693694,1333865.98321545,1356962.29065842
"34",222255.033557047,1349095.52047022,1337713.42025263,1360477.62068782
"35",228959.731543624,1340708.66675752,1329542.38439632,1351874.94911873
"36",235664.429530201,1345275.0832012,1334271.38525852,1356278.78114388
"37",242369.127516779,1352753.32103477,1341827.96799452,1363678.67407503
"38",249073.825503356,1343933.58600485,1333254.28242562,1354612.88958407
"39",255778.523489933,1343963.98550093,1333382.84867227,1354545.12232958
"40",262483.22147651,1346343.97197323,1335914.79986212,1356773.14408434
"41",269187.919463087,1338065.56412374,1327775.98335946,1348355.14488802
"42",275892.617449664,1341186.45663842,1331020.55057642,1351352.36270041
"43",282597.315436242,1344805.60054864,1334766.46304058,1354844.73805671
"44",289302.013422819,1351105.60192908,1341112.18658517,1361099.01727299
"45",296006.711409396,1344902.32021233,1335065.13677504,1354739.50364962
"46",302711.409395973,1340312.68807714,1330603.57527778,1350021.8008765
"47",309416.10738255,1354219.82253404,1344570.06242325,1363869.58264484
"48",316120.805369127,1346687.71706504,1337174.17803009,1356201.25609998
"49",322825.503355705,1337170.32027391,1327780.63831685,1346560.00223098
"50",329530.201342282,1343295.20756767,1333980.3228141,1352610.09232124
"51",336234.899328859,1341672.50279902,1332477.17093626,1350867.83466177
"52",342939.597315436,1345155.55927785,1336021.50521479,1354289.61334092
"53",349644.295302013,1348161.06528118,1339102.53058884,1357219.59997353
"54",356348.993288591,1342578.79332923,1333604.90576796,1351552.6808905
"55",363053.691275168,1333761.58280654,1324935.72665469,1342587.43895839
"56",369758.389261745,1341675.48050856,1332904.77986054,1350446.18115658
"57",376463.087248322,1344434.23923202,1335723.33152864,1353145.14693541
"58",383167.785234899,1338419.92166587,1329797.92734265,1347041.9159891
"59",389872.483221476,1345073.40947001,1336510.64187865,1353636.17706138
"60",396577.181208054,1340085.24904947,1331603.232484,1348567.26561494
"61",403281.879194631,1339005.18642155,1330604.69919027,1347405.67365284
"62",409986.577181208,1344366.79943446,1336003.29505529,1352730.30381363
"63",416691.275167785,1350017.97372548,1341714.56344957,1358321.38400138
"64",423395.973154362,1335900.48741285,1327691.11332249,1344109.86150321
"65",430100.67114094,1348530.70526095,1340348.94774241,1356712.46277949
"66",436805.369127517,1343715.876834,1335632.49897065,1351799.25469735
"67",443510.067114094,1345429.2862327,1337385.4537462,1353473.1187192
"68",450214.765100671,1345268.39526251,1337298.48029995,1353238.31022507
"69",456919.463087248,1339052.10156533,1331166.638285,1346937.56484566
"70",463624.161073825,1350346.08083912,1342458.2862242,1358233.87545405
"71",470328.859060403,1343897.82343223,1336108.22294903,1351687.42391543
"72",477033.55704698,1343437.6287868,1335699.57430462,1351175.68326898
"73",483738.255033557,1341059.54501029,1333370.45635752,1348748.63366305
"74",490442.953020134,1340588.77672882,1332960.8976109,1348216.65584675
"75",497147.651006711,1345463.1508635,1337894.37727328,1353031.92445372
"76",503852.348993289,1347531.01602047,1339979.91412572,1355082.11791523
"77",510557.046979866,1345368.1623666,1337872.84059413,1352863.48413906
"78",517261.744966443,1346269.22576609,1338827.55494066,1353710.89659153
"79",523966.44295302,1342371.28416455,1334998.59263471,1349743.97569439
"80",530671.140939597,1340142.02298933,1332794.6382963,1347489.40768236
"81",537375.838926174,1343782.37622447,1336484.11326349,1351080.63918545
"82",544080.536912752,1352604.590751,1345328.24416235,1359880.93733966
"83",550785.234899329,1343026.73840572,1335824.4256138,1350229.05119764
"84",557489.932885906,1342305.60839419,1335151.94958742,1349459.26720096
"85",564194.630872483,1347816.14059519,1340693.73438865,1354938.54680173
"86",570899.32885906,1344742.2490563,1337671.64348138,1351812.85463122
"87",577604.026845638,1344998.60152231,1337970.63536218,1352026.56768244
"88",584308.724832215,1347421.95924672,1340415.8339391,1354428.08455434
"89",591013.422818792,1339964.93295106,1333030.58793867,1346899.27796345
"90",597718.120805369,1342848.94793816,1335924.70118776,1349773.19468855
"91",604422.818791946,1342529.18237423,1335658.60060534,1349399.76414312
"92",611127.516778523,1350955.07872076,1344087.94913396,1357822.20830757
"93",617832.214765101,1344026.86138256,1337220.49266707,1350833.23009805
"94",624536.912751678,1350329.39512709,1343546.19464992,1357112.59560426
"95",631241.610738255,1346737.91931102,1339989.31757317,1353486.52104887
"96",637946.308724832,1337792.73545653,1331106.52100445,1344478.94990861
"97",644651.006711409,1349725.41889986,1343059.7371683,1356391.10063142
"98",651355.704697987,1335760.62895457,1329154.05097788,1342367.20693126
"99",658060.402684564,1344162.65056803,1337564.29215799,1350761.00897806
"100",664765.100671141,1350216.25050304,1343654.43345564,1356778.06755044
"101",671469.798657718,1344120.80484187,1337600.35342935,1350641.25625438
"102",678174.496644295,1345188.85836928,1338687.0220623,1351690.69467626
"103",684879.194630872,1345851.31850897,1339396.74207298,1352305.89494495
"104",691583.89261745,1344667.18613904,1338242.39161514,1351091.98066293
"105",698288.590604027,1339792.18669864,1333397.4046366,1346186.96876069
"106",704993.288590604,1344286.43034423,1337915.4052461,1350657.45544236
"107",711697.986577181,1334253.40921912,1327941.58866652,1340565.22977172
"108",718402.684563758,1343421.29431659,1337103.73880881,1349738.84982437
"109",725107.382550335,1346876.37927593,1340586.31935592,1353166.43919594
"110",731812.080536913,1343453.99009584,1337205.6094173,1349702.37077439
"111",738516.77852349,1339600.35844659,1333392.57149843,1345808.14539476
"112",745221.476510067,1344053.46562323,1337860.69319972,1350246.23804675
"113",751926.174496644,1340842.73971199,1334688.73870676,1346996.74071721
"114",758630.872483221,1340328.29627547,1334194.00575102,1346462.58679993
"115",765335.570469799,1343037.22403198,1336934.19396682,1349140.25409714
"116",772040.268456376,1347492.05480623,1341407.17319838,1353576.93641409
"117",778744.966442953,1343456.71156327,1337390.4519192,1349522.97120734
"118",785449.66442953,1341171.5626501,1335155.06991719,1347188.05538301
"119",792154.362416107,1348325.78741602,1342302.64000459,1354348.93482745
"120",798859.060402684,1349711.35790656,1343719.63193727,1355703.08387585
"121",805563.758389262,1344862.85767641,1338892.82550801,1350832.88984481
"122",812268.456375839,1350528.78263045,1344578.55274206,1356479.01251884
"123",818973.154362416,1346298.67399476,1340380.19283193,1352217.1551576
"124",825677.852348993,1347049.24292807,1341149.88343227,1352948.60242387
"125",832382.55033557,1345340.29548261,1339476.55752835,1351204.03343688
"126",839087.248322148,1350746.64058654,1344893.33485476,1356599.94631833
"127",845791.946308725,1343013.47927687,1337196.68761144,1348830.27094229
"128",852496.644295302,1344996.08147693,1339200.69496691,1350791.46798695
"129",859201.342281879,1345048.26730437,1339278.89016706,1350817.64444167
"130",865906.040268456,1343052.77218826,1337308.63121392,1348796.9131626
"131",872610.738255034,1345006.35827117,1339279.89397085,1350732.82257149
"132",879315.436241611,1345167.28444971,1339461.79898931,1350872.76991011
