"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","30-09-2022"
"Next release","22 December 2022"
"Important notes",
"1948","405708"
"1949","419563"
"1950","433771"
"1951","449848"
"1952","456721"
"1953","481605"
"1954","502846"
"1955","522386"
"1956","531117"
"1957","541433"
"1958","548478"
"1959","571635"
"1960","607687"
"1961","623816"
"1962","630346"
"1963","660696"
"1964","698322"
"1965","713043"
"1966","724048"
"1967","743971"
"1968","784435"
"1969","799395"
"1970","820947"
"1971","850391"
"1972","887302"
"1973","944993"
"1974","921527"
"1975","907620"
"1976","935107"
"1977","957434"
"1978","996168"
"1979","1031645"
"1980","1008593"
"1981","999157"
"1982","1016032"
"1983","1055306"
"1984","1075379"
"1985","1115471"
"1986","1144194"
"1987","1203771"
"1988","1266148"
"1989","1293508"
"1990","1301766"
"1991","1279817"
"1992","1280206"
"1993","1307157"
"1994","1352627"
"1995","1381233"
"1996","1407583"
"1997","1471263"
"1998","1517715"
"1999","1563460"
"2000","1627447"
"2001","1662558"
"2002","1691998"
"2003","1744840"
"2004","1785756"
"2005","1833406"
"2006","1873015"
"2007","1921029"
"2008","1918064"
"2009","1831550"
"2010","1876058"
"2011","1896087"
"2012","1923551"
"2013","1958557"
"2014","2021225"
"2015","2069595"
"2016","2114406"
"2017","2166073"
"2018","2203005"
"2019","2238348"
"2020","1991439"
"2021","2141293"
"1955 Q1","129428"
"1955 Q2","129519"
"1955 Q3","132043"
"1955 Q4","131396"
"1956 Q1","132998"
"1956 Q2","132679"
"1956 Q3","132495"
"1956 Q4","132945"
"1957 Q1","135711"
"1957 Q2","135750"
"1957 Q3","134944"
"1957 Q4","135028"
"1958 Q1","138005"
"1958 Q2","134822"
"1958 Q3","137771"
"1958 Q4","137880"
"1959 Q1","138749"
"1959 Q2","141054"
"1959 Q3","144101"
"1959 Q4","147731"
"1960 Q1","151420"
"1960 Q2","150230"
"1960 Q3","152485"
"1960 Q4","153552"
"1961 Q1","155990"
"1961 Q2","156572"
"1961 Q3","155818"
"1961 Q4","155436"
"1962 Q1","156202"
"1962 Q2","157678"
"1962 Q3","158572"
"1962 Q4","157894"
"1963 Q1","158616"
"1963 Q2","165619"
"1963 Q3","166407"
"1963 Q4","170054"
"1964 Q1","171209"
"1964 Q2","174393"
"1964 Q3","175037"
"1964 Q4","177683"
"1965 Q1","177153"
"1965 Q2","177267"
"1965 Q3","178719"
"1965 Q4","179904"
"1966 Q1","180172"
"1966 Q2","181154"
"1966 Q3","181778"
"1966 Q4","180944"
"1967 Q1","183328"
"1967 Q2","185968"
"1967 Q3","186841"
"1967 Q4","187834"
"1968 Q1","194591"
"1968 Q2","193804"
"1968 Q3","197603"
"1968 Q4","198437"
"1969 Q1","197901"
"1969 Q2","199471"
"1969 Q3","200592"
"1969 Q4","201431"
"1970 Q1","200089"
"1970 Q2","205001"
"1970 Q3","206988"
"1970 Q4","208869"
"1971 Q1","207680"
"1971 Q2","211465"
"1971 Q3","215240"
"1971 Q4","216006"
"1972 Q1","216317"
"1972 Q2","222086"
"1972 Q3","222694"
"1972 Q4","226205"
"1973 Q1","237322"
"1973 Q2","237728"
"1973 Q3","235429"
"1973 Q4","234514"
"1974 Q1","228013"
"1974 Q2","231343"
"1974 Q3","232777"
"1974 Q4","229394"
"1975 Q1","229477"
"1975 Q2","225734"
"1975 Q3","224919"
"1975 Q4","227490"
"1976 Q1","231247"
"1976 Q2","230985"
"1976 Q3","233947"
"1976 Q4","238928"
"1977 Q1","238831"
"1977 Q2","237076"
"1977 Q3","238720"
"1977 Q4","242807"
"1978 Q1","244622"
"1978 Q2","247510"
"1978 Q3","250901"
"1978 Q4","253135"
"1979 Q1","251825"
"1979 Q2","262981"
"1979 Q3","257095"
"1979 Q4","259744"
"1980 Q1","256815"
"1980 Q2","251750"
"1980 Q3","251454"
"1980 Q4","248574"
"1981 Q1","248097"
"1981 Q2","248514"
"1981 Q3","251197"
"1981 Q4","251349"
"1982 Q1","251388"
"1982 Q2","253939"
"1982 Q3","254533"
"1982 Q4","256172"
"1983 Q1","260720"
"1983 Q2","262390"
"1983 Q3","265120"
"1983 Q4","267076"
"1984 Q1","268763"
"1984 Q2","266099"
"1984 Q3","267783"
"1984 Q4","272734"
"1985 Q1","274498"
"1985 Q2","280049"
"1985 Q3","280252"
"1985 Q4","280672"
"1986 Q1","283200"
"1986 Q2","284643"
"1986 Q3","285943"
"1986 Q4","290408"
"1987 Q1","293128"
"1987 Q2","297464"
"1987 Q3","304555"
"1987 Q4","308624"
"1988 Q1","313316"
"1988 Q2","313997"
"1988 Q3","318223"
"1988 Q4","320612"
"1989 Q1","322258"
"1989 Q2","323569"
"1989 Q3","323542"
"1989 Q4","324139"
"1990 Q1","326896"
"1990 Q2","328047"
"1990 Q3","324080"
"1990 Q4","322743"
"1991 Q1","321164"
"1991 Q2","319958"
"1991 Q3","319027"
"1991 Q4","319668"
"1992 Q1","319525"
"1992 Q2","318481"
"1992 Q3","320240"
"1992 Q4","321960"
"1993 Q1","324111"
"1993 Q2","325394"
"1993 Q3","327863"
"1993 Q4","329789"
"1994 Q1","333269"
"1994 Q2","336803"
"1994 Q3","340451"
"1994 Q4","342104"
"1995 Q1","342962"
"1995 Q2","343589"
"1995 Q3","347031"
"1995 Q4","347651"
"1996 Q1","349056"
"1996 Q2","349195"
"1996 Q3","352909"
"1996 Q4","356423"
"1997 Q1","361885"
"1997 Q2","365725"
"1997 Q3","369141"
"1997 Q4","374512"
"1998 Q1","376761"
"1998 Q2","378766"
"1998 Q3","379906"
"1998 Q4","382282"
"1999 Q1","385025"
"1999 Q2","386581"
"1999 Q3","393078"
"1999 Q4","398776"
"2000 Q1","403407"
"2000 Q2","406049"
"2000 Q3","408120"
"2000 Q4","409871"
"2001 Q1","413381"
"2001 Q2","414894"
"2001 Q3","416803"
"2001 Q4","417480"
"2002 Q1","418930"
"2002 Q2","421133"
"2002 Q3","424190"
"2002 Q4","427745"
"2003 Q1","430454"
"2003 Q2","434140"
"2003 Q3","438419"
"2003 Q4","441827"
"2004 Q1","443792"
"2004 Q2","446140"
"2004 Q3","447205"
"2004 Q4","448619"
"2005 Q1","451985"
"2005 Q2","456263"
"2005 Q3","460177"
"2005 Q4","464981"
"2006 Q1","466584"
"2006 Q2","467684"
"2006 Q3","468351"
"2006 Q4","470396"
"2007 Q1","475292"
"2007 Q2","478424"
"2007 Q3","482064"
"2007 Q4","485249"
"2008 Q1","487601"
"2008 Q2","485278"
"2008 Q3","477935"
"2008 Q4","467250"
"2009 Q1","458181"
"2009 Q2","456867"
"2009 Q3","457471"
"2009 Q4","459031"
"2010 Q1","463391"
"2010 Q2","468691"
"2010 Q3","471664"
"2010 Q4","472312"
"2011 Q1","473510"
"2011 Q2","473773"
"2011 Q3","474501"
"2011 Q4","474303"
"2012 Q1","478242"
"2012 Q2","477974"
"2012 Q3","483913"
"2012 Q4","483422"
"2013 Q1","484555"
"2013 Q2","487845"
"2013 Q3","491499"
"2013 Q4","494658"
"2014 Q1","499294"
"2014 Q2","503659"
"2014 Q3","507485"
"2014 Q4","510787"
"2015 Q1","512895"
"2015 Q2","516141"
"2015 Q3","518365"
"2015 Q4","522194"
"2016 Q1","524102"
"2016 Q2","527401"
"2016 Q3","529730"
"2016 Q4","533173"
"2017 Q1","537114"
"2017 Q2","539994"
"2017 Q3","542780"
"2017 Q4","546185"
"2018 Q1","547003"
"2018 Q2","549491"
"2018 Q3","552545"
"2018 Q4","553966"
"2019 Q1","557458"
"2019 Q2","558071"
"2019 Q3","561480"
"2019 Q4","561339"
"2020 Q1","546515"
"2020 Q2","431794"
"2020 Q3","503509"
"2020 Q4","509621"
"2021 Q1","503663"
"2021 Q2","536608"
"2021 Q3","546084"
"2021 Q4","554938"
"2022 Q1","558776"
"2022 Q2","560089"
